Output Of Scenario 0001
Part One: Trip Distribution Origin-Destination Matrix
,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76,Zone77,Zone78,Zone79,Zone80,Zone81,Zone82,Zone83,Zone84,Zone85,Zone86,Zone87,Zone88,Zone89,Zone90,Zone91,Zone92,Zone93,Zone94,Zone95,Zone96,Zone97,Zone98,Zone99,Zone100,Trip Production Of Each Zone
Zone24,         0,         0,         2,         2,         5,        19,         2,         3,         8,        52,         2,         0,         0,         0,         0,         0,        11,         3,         4,         8,         8,         0,         0,         0,         0,        82,        56,         0,         4,         1,         0,         0,         0,         0,         0,         0,         9,         2,        17,        37,         0,         0,         0,         0,         0,         0,        34,         3,         0,         7,         0,         0,         0,         0,         0,         0,        61,         1,        32,        11,         0,         0,         0,         0,         0,         0,        18,        16,        26,        22,         0,         0,         0,         0,         0,        29,         9,         1,        19,        10,         0,         0,         0,         0,        30,        11,         4,        22,        14,        15,         0,         0,        20,         4,         0,         3,        21,        27,        11,        19,       837
Zone25,         1,         1,        12,         0,         0,       111,        13,        16,        48,       306,        14,         0,         0,         0,         0,         0,        65,        16,        24,        48,        46,         0,         0,         0,         0,         0,       332,         3,        22,         3,         0,         0,         0,         0,         0,         0,        50,        12,        99,       215,         0,         0,         0,         0,         0,         0,       203,        17,         0,        40,         0,         0,         0,         0,         0,         0,       360,         4,       187,        67,         0,         0,         0,         0,         0,         0,       105,        93,       154,       131,         0,         0,         0,         0,         0,       169,        56,         6,       112,        61,         0,         0,         0,         0,       177,        62,        22,       127,        82,        87,         0,         0,       118,        22,         2,        15,       125,       157,        63,       114,      4398
Zone26,         1,         1,        10,         0,         0,        92,         0,         0,         0,         0,        12,         0,       265,         0,         0,         0,         0,         0,         0,         0,        38,       105,        55,        26,         0,         0,         0,         0,         0,         0,         0,        31,        11,        14,       135,         0,         0,         0,         0,         0,        75,       393,       305,        59,       100,         0,         0,         0,         0,         0,       261,        87,       259,         3,       403,       245,         0,         0,       154,        55,        88,        14,       473,       483,       368,        60,        86,        77,       127,       108,       380,       407,       149,        49,       232,       139,        46,         5,        92,        51,        80,       220,         0,       155,       146,        51,        18,       105,        68,        72,         0,       118,        97,        18,         1,        12,       103,       129,        52,        94,      8167
Zone27,         0,         1,         6,         5,        16,        58,         0,         0,         0,         0,         7,         0,       166,         1,         0,         0,         0,         0,         0,         0,        24,        66,        35,        16,        22,         0,         0,         0,         0,         0,         0,        20,         7,         9,        85,         0,         0,         0,         0,         0,        47,       246,       191,        37,        63,         0,         0,         0,         0,         0,       164,        55,       163,         2,       253,       154,         0,         0,        97,        34,        55,         9,       297,       303,       231,        37,        54,        48,        80,        68,       238,       255,        93,        31,       146,        87,        29,         3,        58,        32,        50,       138,         0,        97,        92,        32,        11,        66,        42,        45,         0,        74,        61,        12,         1,         8,        64,        81,        33,        59,      5168
Zone28,         1,         1,         9,         7,        22,        78,         0,         0,         0,         0,        10,         0,       224,         1,         0,         0,         0,         0,         0,         0,        32,        89,        47,        22,        29,         0,         0,         0,         0,         0,         0,        26,         9,        12,       115,         0,         0,         0,         0,         0,        63,       333,       259,        50,        85,         0,         0,         0,         0,         0,       221,        74,       220,         2,       342,       208,         0,         0,       131,        47,        75,        12,       402,       410,       312,        51,        73,        65,       108,        92,       323,       346,       126,        42,       197,       118,        39,         4,        79,        43,        68,       186,         0,       132,       124,        43,        15,        89,        57,        61,         0,       100,        83,        16,         1,        10,        87,       110,        44,        80,      6993
Zone29,         1,         2,        16,        13,        40,       142,         0,         0,         0,         0,        18,         0,       410,         2,         0,         0,         0,         0,         0,         0,        59,       162,        85,        40,        53,         0,         0,         0,         0,         0,         0,        48,        16,        21,       209,         0,         0,         0,         0,         0,       116,       609,       473,        91,       155,         1,         0,         0,         0,         0,       404,       135,       402,         4,       624,       380,         0,         0,       239,        85,       136,        22,       733,       749,       570,        93,       134,       119,       197,       167,       589,       631,       230,        77,       360,       216,        71,         8,       143,        79,       124,       340,         0,       240,       226,        79,        28,       163,       105,       111,         0,       182,       151,        28,         2,        19,       159,       200,        81,       146,     12769
Zone30,         0,         0,         1,         1,         2,         8,         0,         0,         0,         0,         1,         0,        24,         0,         0,         0,         0,         0,         0,         0,         4,        10,         5,         2,         3,         0,         0,         0,         0,         0,         0,         3,         1,         1,        12,         0,         0,         0,         0,         0,         7,        36,        28,         5,         9,         0,         0,         0,         0,         0,        24,         8,        24,         0,        37,        23,         0,         0,        14,         5,         8,         1,        44,        45,        34,         6,         8,         7,        12,        10,        35,        38,        14,         5,        21,        13,         4,         0,         9,         5,         7,        20,         0,        14,        13,         5,         2,        10,         6,         7,         0,        11,         9,         2,         0,         1,         9,        12,         5,         9,       760
Zone31,         0,         0,         0,         3,         9,        30,         3,         4,        13,        83,         0,         0,        87,         1,         0,         0,        18,         4,         6,        13,         0,        34,        18,         8,        11,       130,        89,         1,         6,         1,         0,        10,         3,         5,        44,       248,        14,         3,        27,        58,        24,       129,       100,        19,        33,         0,        55,         4,         0,        11,        85,        29,        85,         1,       132,        80,        97,         1,        50,        18,        29,         5,       155,       158,       120,        20,        28,        25,        41,        35,       124,       133,        49,        16,        76,        45,        15,         2,        30,        16,        26,        72,         0,        51,        47,        17,         6,        34,        22,        23,         0,        39,        31,         6,         0,         4,        33,        42,        17,        30,      3557
Zone32,         1,         2,        19,        16,        49,       172,        20,        26,        74,       476,        22,         0,         0,         0,         0,         0,       101,        25,        37,        74,        72,         0,         0,         0,         0,       750,       516,         4,        34,         5,         0,         0,         0,         0,         0,         0,        78,        19,       154,       335,         0,         0,         0,         0,         0,         0,       315,        26,         0,        62,         0,         0,         0,         0,         0,         0,       559,         6,       291,       103,         0,         0,         0,         0,         0,         0,       163,       145,       240,       204,         0,         0,         0,         0,         0,       263,        86,        10,       175,        96,         0,         0,         0,         0,       275,        97,        34,       198,       128,       135,         0,         0,       184,        35,         2,        23,       194,       244,        98,       177,      7653
Zone33,         2,         3,        28,        24,        71,       251,        29,        37,       108,       692,        32,         0,         0,         0,         0,         0,       147,        37,        54,       108,       105,         0,         0,         0,         0,      1090,       750,         6,        49,         8,         0,         0,         0,         0,         0,         0,       114,        27,       224,       486,         0,         0,         0,         0,         0,         0,       458,        37,         0,        90,         0,         0,         0,         0,         0,         0,       813,         9,       424,       150,         0,         0,         0,         0,         0,         0,       237,       211,       348,       296,         0,         0,         0,         0,         0,       382,       126,        14,       254,       139,         0,         0,         0,         0,       400,       140,        50,       288,       186,       197,         0,         0,       267,        50,         4,        34,       282,       354,       143,       258,     11121
Zone34,         1,         2,        17,        15,        45,       156,        18,        23,        67,       432,        20,         0,         0,         0,         0,         0,        92,        23,        33,        67,        65,         0,         0,         0,         0,       680,       468,         4,        31,         5,         0,         0,         0,         0,         0,         0,        71,        17,       140,       303,         0,         0,         0,         0,         0,         0,       286,        23,         0,        56,         0,         0,         0,         0,         0,         0,       507,         6,       264,        94,         0,         0,         0,         0,         0,         0,       148,       132,       217,       185,         0,         0,         0,         0,         0,       239,        78,         9,       158,        87,         0,         0,         0,         0,       250,        88,        31,       180,       116,       123,         0,         0,       166,        31,         2,        21,       176,       221,        89,       161,      6936
Zone35,         0,         0,         3,         3,         8,        27,         3,         4,        12,        74,         3,         0,         0,         0,         0,         0,        16,         4,         6,        12,        11,         0,         0,         0,         0,       117,        81,         1,         5,         1,         0,         0,         0,         0,         0,         0,        12,         3,        24,        52,         0,         0,         0,         0,         0,         0,        49,         4,         0,        10,         0,         0,         0,         0,         0,         0,        87,         1,        46,        16,         0,         0,         0,         0,         0,         0,        25,        23,        37,        32,         0,         0,         0,         0,         0,        41,        14,         1,        27,        15,         0,         0,         0,         0,        43,        15,         5,        31,        20,        21,         0,         0,        29,         5,         0,         4,        30,        38,        15,        28,      1196
Zone36,         0,         0,         2,         0,         0,        18,         0,         0,         0,         0,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,        30,        11,         0,         0,         0,         0,         0,         0,        17,        15,        25,        21,         0,         0,         0,         0,         0,        27,         9,         1,        18,        10,         0,         0,         0,         0,        29,        10,         4,        21,        13,        14,         0,         0,        19,         4,         0,         2,        20,        25,        10,        18,       403
Zone37,         1,         1,         8,         7,        21,        75,         0,         0,         0,         0,         9,         0,       215,         1,         0,         0,         0,         0,         0,         0,        31,        85,        45,        21,        28,         0,         0,         0,         0,         0,         0,        25,         9,        11,       110,         0,         0,         0,         0,         0,        61,       319,       248,        48,        81,         0,         0,         0,         0,         0,       212,        71,       210,         2,       327,       199,         0,         0,       125,        44,        71,        11,       384,       392,       299,        48,        70,        63,       103,        88,       309,       331,       121,        40,       189,       113,        37,         4,        75,        41,        65,       178,         0,       126,       118,        42,        15,        85,        55,        58,         0,        95,        79,        15,         1,        10,        83,       105,        42,        76,      6689
Zone38,         1,         2,        17,        14,        42,       149,         0,         0,         0,         0,        19,         0,       429,         3,         0,         0,         0,         0,         0,         0,        62,       170,        90,        42,        56,         0,         0,         0,         0,         0,         0,        51,        17,        22,       219,         0,         0,         0,         0,         0,       121,       638,       495,        96,       163,         1,         0,         0,         0,         0,       423,       142,       421,         4,       654,       398,         0,         0,       251,        89,       143,        23,       768,       784,       597,        97,       140,       125,       206,       175,       617,       661,       241,        80,       377,       226,        74,         8,       150,        82,       130,       356,         0,       252,       237,        83,        29,       170,       110,       116,         0,       191,       158,        30,         2,        20,       167,       210,        85,       152,     13377
Zone39,         1,         1,         7,         6,        19,        66,         0,         0,         0,         0,         8,         0,       190,         1,         0,         0,         0,         0,         0,         0,        27,        75,        40,        19,        25,         0,         0,         0,         0,         0,         0,        22,         8,        10,        97,         0,         0,         0,         0,         0,        54,       283,       219,        42,        72,         0,         0,         0,         0,         0,       188,        63,       187,         2,       290,       176,         0,         0,       111,        39,        63,        10,       341,       348,       265,        43,        62,        55,        91,        78,       274,       293,       107,        36,       167,       100,        33,         4,        67,        36,        58,       158,         0,       112,       105,        37,        13,        76,        49,        52,         0,        85,        70,        13,         1,         9,        74,        93,        38,        68,      5929
Zone40,         0,         0,         1,         1,         3,        10,         0,         0,         0,         0,         1,         0,        29,         0,         0,         0,         0,         0,         0,         0,         4,        12,         6,         3,         4,         0,         0,         0,         0,         0,         0,         3,         1,         2,        15,         0,         0,         0,         0,         0,         8,        43,        34,         7,        11,         0,         0,         0,         0,         0,        29,        10,        29,         0,        45,        27,         0,         0,        17,         6,        10,         2,        52,        53,        41,         7,        10,         9,        14,        12,        42,        45,        16,         5,        26,        15,         5,         1,        10,         6,         9,        24,         0,        17,        16,         6,         2,        12,         7,         8,         0,        13,        11,         2,         0,         1,        11,        14,         6,        10,       912
Zone41,         2,         3,        25,        21,        63,       221,        25,        33,        95,       610,        28,         0,         0,         0,         0,         0,       130,        33,        47,        95,        92,         0,         0,         0,         0,       961,       661,         5,        43,         7,         0,         0,         0,         0,         0,         0,       100,        24,       198,       429,         0,         0,         0,         0,         0,         0,       404,        33,         0,        80,         0,         0,         0,         0,         0,         0,       716,         8,       373,       133,         0,         0,         0,         0,         0,         0,       209,       186,       307,       261,         0,         0,         0,         0,         0,       337,       111,        12,       224,       122,         0,         0,         0,         0,       353,       124,        44,       254,       164,       173,         0,         0,       235,        44,         3,        30,       249,       312,       126,       227,      9806
